,모델명,날짜,별점,제목,본문
0,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 9 December 2021,1.0 out of 5 stars,Delivered Damadged condition,"Don't waste your money to buy refrigerator from Amazon. They aren't customer centric what they used to be. I purchased LG refrigerator, it was delivered by Amazon cloud tail delivery team. The couple of guys brought my shipment at 11.00 hrs when i was in midle of offical work, they just placed the item and scanned the product and politely asked the OTP no. Since I had high regards with Amazon brand and trusted them they don't deliver the items with damaged condition so i just shared the OTP with them. Those guys havent performed open delivery which they supposed to do in front of the customer. They might aware this was already damadged before it's out for delivery. Exactly afterb1 hour I just opened the boxes then I found there is a significant dent on the rear side of the refrigerator, I was so terrified and initiated thebl replacement also contacted the customer servixe, explained him about the issue. The CS guy who keep on talking about the process and refused to replacement or refund, again I spoke to his higher offical, he was also spoke about the process, doesn't understand the pain from the common man point of view. I just told him if it is a open inspection delivery, the respective delivery guys has to open the box in front of us and get it signed by the customer also the service quality team has to physically checked the shipment and ensure everything is perfect before it gets out for delivery. I am sure nothing had been happend either. I was so frustrated with the service quality from Amazon my 5 years association with Amazon has been gone for toss. They weren't reliable what they used to be. As the brand going bigger on the other hand they were slipped from the great customer experience. They might colected feedbacks and photographs, it looks like most of them who purchased this item reported silimar issues however they didn't do any alternative solution to avoid this issue. My honest feedback is don't buy it from Amazon. I just spotted the dent and dont know how is going to work."
1,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 29 June 2024,3.0 out of 5 stars,Bended product,Fridge is bended at it's one side...may be it's happening at the time of delivery...Otherwise the product is Okk...
2,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 15 June 2024,3.0 out of 5 stars,Good but egg tray was missing,Egg tray missing and the customer care person said they can't do anything about the missing item. He told either we can accept the order without egg tray or don't accept the order.
3,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 24 April 2024,3.0 out of 5 stars,Go for it ...,"Perfect for small family .value for money.But I would've loved it more if ice maker had bigger size or space...and yes , the egg rack has space for only 8 eggs 😅 what's with that LG? anyhow it's a very amazing product."
4,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 21 April 2024,3.0 out of 5 stars,Inside space issue,Freez looking bulky from outside but inside space is too low.
5,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 21 February 2024,3.0 out of 5 stars,Average product,"While power supply is stopped more than 2 to 3 hours then water is flow on the floor.
Big demerits of this refrigerator and cooling is not effective than other brand refrigerator.Plese Don't buy."
6,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 5 September 2023,3.0 out of 5 stars,GOOD PRODUCT,"COMPRESSOR ALWAYS RUNNING AND SOME SMALL HUNTING SOUND OBSERVED.
I HAD BEEN USING THE LG REFRIGIRATOR ITS QUALITY VERY NICE BUT NOW A DAYS THE QUALITY NOT THAT MUCH GOOD. IN MY OLD FRIDGE THE TEMPER GLASS HAS SUPPORT IN THE BOTTOM SIDE WITH SOME METAL CLIPS BUT IN THE NEW ONE ITS NOT AVAILABLE. WE EXPECT LG SERVICE TO PROVIDE DEMO ON THE NEW PRODUCT BUT NO ONE CAME TO DEMO. SOME SCRATCHES ARE FOUND IN THE MAIN DOOR. IN THE NEW ITEM ANY KIND OF DEFECTS NOT ACCEPTABLE."
7,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 3 November 2023,3.0 out of 5 stars,Refrigerator is okay.but don't fall in the exchange scam,"I mainly ordered a refrigerator online due to an exchange offer. My old fridge was in working condition, and it had some minor scratches. But during delivery time, they said that due to these scratches, we couldn't take it. Hence, I was forced to pay around 2500 rupees for the exchange price.
My refrigerator is working fine.pls go through the terms and conditions of exchange offer before buying"
8,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 30 March 2024,2.0 out of 5 stars,Design flaw covered up by amazon,"Design is pathetic but shown nice and polished by Amazon. Aesthetically displeasing. My friends who visited home asked me if the door was replaced by a wrong model. AMAZON a very basic question is when every other model had option of 360 deg view was available why was it not there for this model. If it was there I wouldn't have selected this model, big compromise."
9,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 11 June 2024,2.0 out of 5 stars,Thik h,Thik h
10,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 28 November 2023,2.0 out of 5 stars,Within 1 month malfunctioning,"After 1month of usage, suddenly started tripping in house and found that refrigerator is malfunctioning. Then called to the customer care and complained about it. The half cooked Technician visited within 24hrs and checked and keep on calling other technicians and asking about what to check and how to find out the problems. Finally he said there's a fire smell in the board and it is damaged due to power fluctuation. Even though I told him I have stabilizer connected with it he is keepin telling due to power fluction only it happened. And his point was even though you connected with stabilizer it will happen. I don't understand then what is the purpose of stabilizers. Now he registered for claim. Waiting for the board to replace. Disapointed with the service."
11,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 7 August 2024,1.0 out of 5 stars,Worst service received from LG,"Seller doesn't give vegetable box and egg tray. And LG also can't provide that part after 2 weeks of waiting, worst service received from LG."
12,"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",Reviewed in India on 21 August 2024,1.0 out of 5 stars,Product received in damage condition,Product received in damage condition
