,모델명,날짜,별점,제목,본문
0,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 21 August 2024,3.0 out of 5 stars,Picture Quality and Sound effect,I had bought so many tv of LG from showroom...This is my first order from online due to effective offers...so that my concern is about picture Quality and the sound quality is not good as I compare my older lg tv .. colour is not natural and Sound base is not louder... overall tv design is good features is good... performance is better...if you want a louder speaker and a good picture Quality then you will not go for this...This is my observation...
1,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 9 August 2024,3.0 out of 5 stars,It's an overpriced tv,"The 14000 for the tv and 1000 extra for magic remote there is no bundle offer.Tv does not support Android the weight is okay ui is smooth, sound is adequate for a long room overall it's a good budget branded tv not a value for money"
2,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 20 August 2024,3.0 out of 5 stars,Sound Quality not too good,"Good Apps, Color not too good and Sound quality not too good."
3,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 2 August 2024,3.0 out of 5 stars,Okay,Exchange offer does not work. The person in physical who comes for exchange will give bla bla reasons not to do exchange old tv
4,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 28 July 2024,3.0 out of 5 stars,Lg tv,"It old model tv
Working normaly
Nothing special"
5,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 18 July 2024,3.0 out of 5 stars,Value for money.,Good TV under this price Range.
6,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 9 July 2024,3.0 out of 5 stars,ONLY BETTER FOR YOUR PARENTS,At this tv price you can get many tvs better than this tv so choose wisely
7,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 22 June 2024,3.0 out of 5 stars,ryash2802@gmail.com,Best quality
8,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 2 June 2024,3.0 out of 5 stars,Awesome,Compression to others brands it's awesome but little bit higher than other brands
9,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 11 August 2024,2.0 out of 5 stars,Least user friendly,"Avoid if are buying for your parent. Buy some android tv , avoid lg os

almost 14k and yet no Bluetooth , so this is also bad"
10,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 15 May 2024,3.0 out of 5 stars,Display best quality and running Jio tv only running LG own app,Very Bad
11,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 24 August 2024,2.0 out of 5 stars,This is a VA panel and not IPS,"Play Video
As advertised in all platforms and in description it says IPS panel, but it's a VA panel. Do not buy in this price range. You can easily get a IPS panel."
12,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 25 March 2024,3.0 out of 5 stars,Good product,"Everything is good, but Audio jack (3.5mm jack) not given. So it's too difficult to connect speakers directly.
Otherwise picture quality is good enough.
Requesting LG to add Audio port (3.5mm port).
Thanks to LG and AMAZON 👍"
13,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 16 April 2024,3.0 out of 5 stars,Build quality,Build quality not good
14,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 26 July 2024,2.0 out of 5 stars,Not that smart!,Responsiveness is not up to the mark. Takes time to perform your order. Picture quality is better but not the best.Sound quality could have been better.Over all not satisfied.
15,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 19 March 2024,3.0 out of 5 stars,Cost too high,"5.1 surround sound in specification but tv has only 2 speakers also LG is not providing voice remote in rs14000, returned on same day and purchased sansui 56"" With voice control remote for rs29000."
16,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 20 January 2024,3.0 out of 5 stars,Not IPS panel,Whoever trying or thinking for buying this tv..please remember this is not a IPS panel TV its VPA panel..so please think twice. So view angle will be little white and front angle will be good..but in IPS panel all side view will be superb and same as front angle.
17,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 4 March 2024,3.0 out of 5 stars,Okay okay,"Web OS is not real good, I have fire stick and that's real gem. Lot of games, apps and ease of use. Web OS have only a few things and lack a lot of useful things.
Other things are okay in TV."
18,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 22 October 2023,3.0 out of 5 stars,The LG technician called after 3 days of delivery,"The TV is good and delivered in perfect condition.
But the worst part is that, the LG technician called us after 3 days of delivery. When we asked technician why did it take 3 days to contact us, he said that Amazon notified them just now. Either Amazon notified LG very late or LG technician called us very late.
We told the technician that we have already set up the TV there is no need for you to come over."
19,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 5 March 2024,3.0 out of 5 stars,Average,Quality & sound just ok. Not looks like premium
20,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 18 March 2024,3.0 out of 5 stars,Good,Like
21,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 16 March 2024,3.0 out of 5 stars,NEED TO REDUCE RATE,okay good but need to reduce product price
22,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 19 July 2024,1.0 out of 5 stars,Worst Picture Quality,Don't buy this product just for the sake of low price when compared to other similar products. Picture quality is the worst. It's been a month-old TV but looks like a five or more years-old TV. Don't buy and suffer like me. I would recommend please spend some additional amount and go for Sony/Samsung
23,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 8 February 2024,3.0 out of 5 stars,Star rating,It's only 1 star. But they didn't mention the product details
24,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 8 June 2024,2.0 out of 5 stars,No blueetooth,Thought as it is a smart tv it will also support Bluetooth but it doesn't.
25,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 31 December 2023,3.0 out of 5 stars,Like others smart TV,This TV is very nice but colour are not very good good but good 😊
26,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 29 January 2024,3.0 out of 5 stars,Qulatiy,Picture and sound quality good
27,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 31 January 2024,3.0 out of 5 stars,Good,Display is good...
28,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 21 August 2024,1.0 out of 5 stars,टेलीविजन में स्क्रेच पड़े हुए हैं,"टेलीविजन पर स्क्रेच पड़े हुए हैं
डिलिवरी एसोसिएट ने न फोन किया और न आने की जानकारी दी और टेलीविजन(ओपन घ बोकस) भी नहीं किया, और टेक्निशियन आयेंगे तो खोलकर दिखा देंगे"
29,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 18 January 2024,3.0 out of 5 stars,❗️,Did not get the remote control
30,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 11 December 2023,3.0 out of 5 stars,Facing auto shutdown issue,"TV is getting auto switchoff, we need replacement for the same.
this is happing every 5 min."
31,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 20 November 2023,3.0 out of 5 stars,"Good service but, poor display, poor sound (compared to other brands)","Service is excellent, they charge more money for service but honestly, you can go for other TVs for quality panel and sound."
32,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 12 January 2024,3.0 out of 5 stars,Avg experience,"Compare to other LG tvs, the screen quality is avg"
33,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 25 October 2023,3.0 out of 5 stars,TV is good but panel quality has to improve,"Connectivity is excellent, appearance is good but panel quality has to improve,performance is excellent, color is good, smartness is good,value for money means has give more options like ips panel and android."
34,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 16 August 2024,1.0 out of 5 stars,Please don't purchase,This is not smart tv
35,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 4 December 2023,3.0 out of 5 stars,Wall Mounting Issue,Tv is pretty thick and if you are mounting on wall it'll be away from wall by almost 15 cm
36,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 5 August 2024,1.0 out of 5 stars,Don't buy this TV.,"After one year of use, my TV stopped working. Do not buy this TV."
37,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 30 December 2023,3.0 out of 5 stars,"Thick bezel,","Thick bezel, looks outdated, colour so so"
38,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 22 August 2024,1.0 out of 5 stars,Worst,Bekar
39,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 1 August 2024,1.0 out of 5 stars,Waste of money,No satisfied with the performance and sound quality
40,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 25 February 2024,2.0 out of 5 stars,LED fluid lead to screen damage.,"Dear All,
I have puchased this TV in the month of Oct ‘24 and now 5th month I have started getting this screen damage from yesterday night. It was working fine till yesterday morning. Don’t know what is the issue."
41,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 21 July 2024,1.0 out of 5 stars,Karimnagar service station worst service,Tv delivered 4 days before but no update from Karimnagar LG service centre for installation. It’s worst service from LG.
42,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 2 May 2024,2.0 out of 5 stars,Shahrukh Pathan,voice search feature should be in builted.
43,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 8 December 2023,3.0 out of 5 stars,Nice,Good product
44,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 5 November 2023,3.0 out of 5 stars,while playing video line coming in screen,"Play Video
While playing videos line coming in screen. I took for my PC
Facing problem in screen while playing videos."
45,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 7 August 2023,3.0 out of 5 stars,"Good quality, but not very smart","There is no Google tv support and no voice support in the remote it is still in old version but it is value for money, you can get better TV's at same price like acer, OnePlus etc."
46,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 2 July 2024,1.0 out of 5 stars,LG demo services are not good,We are not satisfied by LG demo services...very late and they are not technically qualified...very arrogant attitude....no technical knowledge...just can not able to connect DVD and Speakers to the Tv which is also part of them
47,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Reviewed in India on 22 October 2023,3.0 out of 5 stars,Inches differ from the mentioned,Received item has 28 inches but I ordered 32 inches TV. Not satisfied with the product 😕
