text,star
"Using Fake gas & copper pipe:
The service center (Royal Services Goa) used local copper pipes, several leftover pieces of insulation (instead of one continuous roll), and it seems they filled the AC with fake gas. AC was using full power but not cooling at all, the inside room temperature was higher than outside temperature & they were knowingly reporting wrong gas pressures to LG to cover up. I sent the pictures of the correct gas pressure to LG but the ASM took no action & service center stopped providing service and then closed the complaint. The installation technician also showed me samples of poor-quality copper pipes which he admitted were not from LG but from the local shop.

Overcharging & Arm twisting:
Service center said official company rates are for showing only. If I wanted officially published rates, the installation will not happen. That is exactly what they did. They kept me waiting for 10 days and then closed the complaint with reason ""customer does not want installation"" even though the matter was under escalation to with CEO's e-mail address.

Excess charges:
Extra Copper Pipe with insulation & vinyl tape: Official Rate 850/meter, Service center wanted: 1130 + gst
Power chord: Official Rate 60/meter, Service center wanted 180/meter
Gas refilling charge on brand new installation: Official rate: Free, its included, Service center wanted: 1500 + GST

Even after the matter was raised with the Area Service Manager (ASM), the ASM instead of upholding official rates said its not profitable for the service center & wanted me to directly negotiate unofficial rates with the service center.

AC not installed in 10 days:
Since I insisted on official installation prices, the service center stopped responding to calls or messages. The matter was escalated to the ASM but nothing changed.

Useless customer care:
The matter was escalated using the write to CEO link. This turned to be a total waste of time as you only get directed to customer care and get generic responses. They forwarded my complaint to the persons against whom the complaint was made. No one from LG customer care even called to find out whats going on & the harassment only increased. Amazon also escalated the issue at their end but the installation was not done in 10 days. Finally, I gave up and returned the AC.

This review is from someone who used to be a loyal LG customer. But now LG is not what it used to be.",1
"Cooling, efficiency, everything is good but the copper pipe was missing in the amazon package. Had to pay for the pipe and then calim the refund from amazon. Amazon provides refund in the form of amazon pay balance which was waste of money.",3
"Product is good but installing this thing is nightmare. Installation is done by brand itself on amazon & by third party installer on another e-commerce website. Brand installation is alway bad.
After hundreds of calls to LG, I received first technician visit after 7 days of delivery, when technician came to home, he told me he didn’t carry any proper rotary hammer drill and having only drill machine and mechanical hammer to make a hole, I refused to install as this could damage wall.
Again after hundreds of calls to LG, three days later another technician visited, this time he was very professional and had all the tools.
So yeah, I recommend this product to someone who have a lot of patience. Product seems good after one week of uses.",3
Good,3
"The product is really good and nice cooling, less noise. For installation they charge more than what's shown on Amazon app. Standard installation they charge 1415 and we have to pay extra for stand and the three pin plug and other accessories and for installation of the outdoor unit stand separately which was around 1200. LG sent an installation service fee bill of Rs.2596 but the service team charged me more. I wish the right expectations were set before installation about the charges, hence writing it here, it may cost around 3k for installation alone!! Not a fair price!!",3
"Overall its a good product, but the ocean black protection is missing in indoor coils , and also the gold protection is missing in the u bends of the outer condenser coil.",3
"Purchased the AC last week.Installation was a pain .Everyday someone claiming to be from LG would call only for not to turn up.Finally after 5 days a guy who pretended to be AC technician visited for installation.The guy was more suited for road construction rather than AC installation.He neither had patience to explain anything nor he had any skills to carry out installation.Left without giving Demo.For an AC costing north of 40k Atleast LG should send someone who knows the job.
Coming to the AC,it does work properly.There is no backlight in Remote which can be irritating at night without lights.AC is almost soundless ,cools my 140 sq feet room within 10-15 mins.",3
Product Quality is good but service needs to be improved. I bought the AC along with stands(AC bracket) in Amazon but the service techinicans did not accept that to install and they asked me Rs. 300 extra for that otherwise I need to buy their products which costs Rs.1000 it seems. I bought 2 ACs and I lost around Rs. 500 and I tried to call Amazon and LG service centre but noresponsw from them. Please improve the service.,3
"Value for money, features, cooling, performance, connectivity, warranty",3
"Liked very quick delivery .
Dislike MRP as described 85990
less 45 % .net 46990

But the product tag has mfg date .july 2024 and MRP 30097 .inclusive all taxes .
Matter is serious and a minimum claim for refund of 46990-30097
=16893 .",2
