,title,text,transformed_date,star,product_num,hp_data
0,Delivered Damadged condition,"Don't waste your money to buy refrigerator from Amazon. They aren't customer centric what they used to be. I purchased LG refrigerator, it was delivered by Amazon cloud tail delivery team. The couple of guys brought my shipment at 11.00 hrs when i was in midle of offical work, they just placed the item and scanned the product and politely asked the OTP no. Since I had high regards with Amazon brand and trusted them they don't deliver the items with damaged condition so i just shared the OTP with them. Those guys havent performed open delivery which they supposed to do in front of the customer. They might aware this was already damadged before it's out for delivery. Exactly afterb1 hour I just opened the boxes then I found there is a significant dent on the rear side of the refrigerator, I was so terrified and initiated thebl replacement also contacted the customer servixe, explained him about the issue. The CS guy who keep on talking about the process and refused to replacement or refund, again I spoke to his higher offical, he was also spoke about the process, doesn't understand the pain from the common man point of view. I just told him if it is a open inspection delivery, the respective delivery guys has to open the box in front of us and get it signed by the customer also the service quality team has to physically checked the shipment and ensure everything is perfect before it gets out for delivery. I am sure nothing had been happend either. I was so frustrated with the service quality from Amazon my 5 years association with Amazon has been gone for toss. They weren't reliable what they used to be. As the brand going bigger on the other hand they were slipped from the great customer experience. They might colected feedbacks and photographs, it looks like most of them who purchased this item reported silimar issues however they didn't do any alternative solution to avoid this issue. My honest feedback is don't buy it from Amazon. I just spotted the dent and dont know how is going to work.","Dec, 2021",1,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
1,Bended product,Fridge is bended at it's one side...may be it's happening at the time of delivery...Otherwise the product is Okk...,"Jun, 2024",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
2,Good but egg tray was missing,Egg tray missing and the customer care person said they can't do anything about the missing item. He told either we can accept the order without egg tray or don't accept the order.,"Jun, 2024",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
3,Go for it ...,"Perfect for small family .value for money.But I would've loved it more if ice maker had bigger size or space...and yes , the egg rack has space for only 8 eggs 😅 what's with that LG? anyhow it's a very amazing product.","Apr, 2024",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
4,Inside space issue,Freez looking bulky from outside but inside space is too low.,"Apr, 2024",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
5,Average product,"While power supply is stopped more than 2 to 3 hours then water is flow on the floor.
Big demerits of this refrigerator and cooling is not effective than other brand refrigerator.Plese Don't buy.","Feb, 2024",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
6,GOOD PRODUCT,"COMPRESSOR ALWAYS RUNNING AND SOME SMALL HUNTING SOUND OBSERVED.
I HAD BEEN USING THE LG REFRIGIRATOR ITS QUALITY VERY NICE BUT NOW A DAYS THE QUALITY NOT THAT MUCH GOOD. IN MY OLD FRIDGE THE TEMPER GLASS HAS SUPPORT IN THE BOTTOM SIDE WITH SOME METAL CLIPS BUT IN THE NEW ONE ITS NOT AVAILABLE. WE EXPECT LG SERVICE TO PROVIDE DEMO ON THE NEW PRODUCT BUT NO ONE CAME TO DEMO. SOME SCRATCHES ARE FOUND IN THE MAIN DOOR. IN THE NEW ITEM ANY KIND OF DEFECTS NOT ACCEPTABLE.","Sep, 2023",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
7,Refrigerator is okay.but don't fall in the exchange scam,"I mainly ordered a refrigerator online due to an exchange offer. My old fridge was in working condition, and it had some minor scratches. But during delivery time, they said that due to these scratches, we couldn't take it. Hence, I was forced to pay around 2500 rupees for the exchange price.
My refrigerator is working fine.pls go through the terms and conditions of exchange offer before buying","Nov, 2023",3,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
8,Design flaw covered up by amazon,"Design is pathetic but shown nice and polished by Amazon. Aesthetically displeasing. My friends who visited home asked me if the door was replaced by a wrong model. AMAZON a very basic question is when every other model had option of 360 deg view was available why was it not there for this model. If it was there I wouldn't have selected this model, big compromise.","Mar, 2024",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
9,Thik h,Thik h,"Jun, 2024",2,"GL-I292RPZX, Shiny Steel, Door Cooling+",LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator
