,title,text,transformed_date,star,product_num,hp_data
0,Size is small ! 6-7 clothes mein hee it gets filled !!,Small size hai ..not too useful for family for 4,"Aug, 2024",3,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
1,Instalation issue,"Product is good but instalation person asked to pay 1135 rupees for liquid detergent, tank cleaning powder and water pipe filter, which he said is compulsory so we paid at that moment .","Jul, 2024",3,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
2,Poor service of LG,Hassel free delivery. Product is also good but very bad service from LG.The customer care didn't have answers. The man who came to install was in a hurry and rude. He did not balance the machine .When we called the head of LG he did not resolve the issue of rude behavior of his staff. Moreover such was the audacity of the mechanic he called back and used offensive language regarding bad feedback. U should address this issue Amazon with lG people.,"Jun, 2024",3,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
3,Installation is very big problem,"Product is great no doubt, but installation is very very very hectic. I suggest you go buy from local shops itself. You can catch hold the person. These people provide service only to cities.","Jul, 2024",3,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
4,WEIRD NOISE coming out during spinning cycle,"Play Video
Purchased this with lots of hopes that LG will be better than other competitors. The machine appears to be good but a weird noise coming out during spinning cycle and one can easily notice the suspect noise at the end of the spinning cycle, see the attached video clip.

1. No branding and indication (or stickers) about DIRECT DRIVE on the machine.

2. No branding and indication about 6 MOTIONS SENSE wash on the machine. Only GOD knows which program works with 6 motions sense. I guess only 1 or 2 motion senses works for per cycle.

3. No indication about AI on the machine.

4. No proper indication about 2 Years Warranty + 10 Years Warranty (Motor) on the machine.

5. If it is installed properly on the floor vibration can be reduced.

6. Anti rat is made with cotton box paper. (Should have given a plastic or fiber).

7. Water inlet pipe is very short. Should have given at least 2 meter.

8. LG ThinQ app does it job fairly.

But I’m facing a major issue of weird NOISE coming out from machine during spinning cycle which I never heard from other washing machines. Not sure if this noise is due to defective DRAIN PUMP or Motor itself.

Trying hard for replacement but Amazon CC telling that they will raise request to LG brand for inspection then decides after their inspection report to Amazon. I don’t know how long takes for the whole process. Meanwhile my RETURN POLICY WILL BE EXPIRED SOON.","Jul, 2024",2,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
5,Product is good but Amazon delivery is worst,"The delivery man called and said I am only one person, u need to come and help me otherwise I will return the product. Amazon atleast should send 3-4 workers as it's not feasible for 2 person to pick this machine.","May, 2024",3,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
6,Poor Service,"Poor service from LG,I called to LG customer care for Demo, Executive responded in the rude behaviour.","May, 2024",3,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
7,Not worth.,"First off all the installation itself is headache, The person who delivers the product will assure us that they will raise installation request, but if we believe them and wait no body will show up, later when I contacted amazon customer care, they are asking us to raise installation request directly from brand. so don't waste your time by trusting this crazy amazon or seller. Directly contact brand for installation.

Second scam is exchange, don't believe the exchange value mentioned in amazon website it is totally a scam by amazon. They will inspect your machine and after that they will tell this and that as if we need to keep the machine like new one as when brought. They will denie for exchange or will insist us to give it for scrap rate. So don't fall for exchange offer, better to give it to local waste collection, so that we no need to pay the exchange amount in return to them while delivery.

Third about machine, don't go for Front load. Top load is best. As attached in video. Small cloths will get stuck in door. We need separate mesh bags to put small clothes. Compared to top load we can only put less number of clothes, machine is also too heavy to lift and move, that again become headache to clean the floor where the machine is kept. Washing, Stain and grease removal is good when Compared to Top load.","Mar, 2024",2,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
8,Fewer temperature preset options,"Machine is well built and elegant.
But.....
It it takes more time apart from the set timer for a particular wash cycle which is not mentioned in the manual suppose if u set a wash cycle and it shows a time to complete the wash but the machine takes some times 20% more time to complete that wash cycle.
Second this model has only two temperature options max 60 degree centigrade which is not enough when you have to remove hard stains.
Although this machine shows max 1400 RPM for spin but one gets same result as of 700rpm Semi Automatic washing machine .
Buyers should take these things into consideration while choosing a machine.","Feb, 2024",3,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
9,"making too much noise, returned defective piece","The washing machine is making a lot of noise during spin phase. Looks like the detergent drawer is loose & its causing the sound during spin.

Also, after first use, their was a bulge on the washing machine side. I returned the machine.

P.S. The cleaning was fine, but the sound that it was making during the spin phase was just too much.","Aug, 2024",2,"FHP1208Z3M, Intelligent & Convenient Fabric Care, Allergy Care, Middle Black","LG 8 Kg, 5 Star, AI Direct Drive Technology, Steam & 6 Motion DD Fully-Automatic Front Load Washing Machine"
