,text,state,date,star,hp_data
0,"Picture quality is very bad.. bright ness is more.. color is very dim, thinking LG is good , brought this. But not satisfied..","Certified Buyer, Bangalore",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
1,"Within 15 days we got a problem, small black dots are seen on the screen, very bad experience,","Certified Buyer, Mangalagiri",5 days ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
2,"Very bad, stand is not flexible, stand is not doing moment","Certified Buyer, Jewar",8 days ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
3,"Still we are waiting for installation but the technician saying if you buy a wall mount we will install otherwise we will fix the back panel which is support for wallmount
Very bad behaviour of technician please 🙏 don't buy this 😑","Certified Buyer, Nizamabad District",27 days ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
4,Worst brand,"Certified Buyer, Bhiwandi",29 days ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
5,Not a value for money even the flipkart delivery is getting delayed and worsed day by day...one can purchase better product within this price ...,"Certified Buyer, Vasai Virar",30 days ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
6,Too much laggy product.,"Certified Buyer, Jamui",1 month ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
7,"Not working lg tv,","Certified Buyer, Bengaluru",1 month ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
8,Worst lg tv so lacking and taking time to change apps very slow,"Certified Buyer, Visakhapatnam",1 month ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
9,VERY BAD PRODUCT AND VERY WORST CUSTOMER CARE AND VERY WORST INSTALLATION TEAM AND 5DOES GONE BUT NOT INSTALLATION WORK FOR TIV,"Certified Buyer, Bengaluru",2 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
10,T v fitting very bad...biginchadaniki yavaru raledhu,"Certified Buyer, East Godavari District",2 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
11,"0 Stars, Never purchase this product","Certified Buyer, Bengaluru",3 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
12,Never thought they dint include Bluetooth in smart tv. Complete waste of money,"Certified Buyer, Bengaluru",4 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
13,Stand is poor,"Certified Buyer, Bellary",4 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
14,"Disappointed this item
Bad picture quality
Sound quality is also very bad","Certified Buyer, Bengaluru",5 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
15,Display poor quality,"Certified Buyer, Chennai",5 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
16,Wall stand not good it's simple stand,"Certified Buyer, Bhilad",6 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
17,Picture quality very poor,"Certified Buyer, Muzaffarpur",6 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
18,"Please don't buy,save ur money
Display is not working properly
Picture is getting stuck while playing","Certified Buyer, Guntur",6 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
19,Audio out port (AUX) is not available from TV,"Certified Buyer, Vasai Virar",7 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
20,Middle class valueble money,"Certified Buyer, Perambalur District",7 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
21,"Picture quality is very bad. Colour shows less and white shows more. Even aftet changing the settings, it looks the same.","Certified Buyer, Idappadi",7 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
22,Not best,"Certified Buyer, Warangal",7 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
23,No 180 degree view colour gets whiten on side way angles,"Certified Buyer, Sangli District",7 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
24,Picture quality very low,"Certified Buyer, Ramanathapuram",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
25,tv panel quality very worst,"Certified Buyer, Tiruvallur",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
26,Worst tv,"Certified Buyer, Gurgaon",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
27,Poor,"Certified Buyer, Devikapuram",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
28,Tv display britness was very low after display setting,"Certified Buyer, Nashik",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
29,No buy this *LG TV 32inch because led display not working,"Certified Buyer, Koppal",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
30,"This tv not led tv
This model lcd screen
Backlight only led
So purchase before think
Flipkart not support replacement
There r told sir plss ask lg brand
Show small box pixels
Picture colour also worst
Audio only ok
But rating all 4
Before think after purchasing this model tv","Certified Buyer, Coimbatore",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
31,Worst product and waste of money,"Certified Buyer, Bengaluru",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
32,Not buy this product bad product sale by flipkart seller is flipkart,"Certified Buyer, Navi Mumbai",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
33,Display quality is too poor,"Certified Buyer, Hyderabad",8 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
34,Worst display,"Certified Buyer, Guntur",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
35,"Poor quality, picture quality is very low and sound quality is very poor","Certified Buyer, Bellary District",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
36,Picture Quality is very poor in this price range,"Certified Buyer, Fatehabad",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
37,Verry bad product,"Certified Buyer, Purba Champaran District",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
38,"Bad picture quality, bad product, total money waste.","Certified Buyer, Mahuva",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
39,Picture quality is very poor.,"Certified Buyer, Shahdol",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
40,"Svc part is so pathetic, svc have not installed tv properly, it's still shaking, also technician have installed the TV incline, it's not fitted as per wall surface, so poor svc from svc end","Certified Buyer, Navi Mumbai",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
41,Very worst,"Certified Buyer, Namakkal District",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
42,Mirror casting very low quality waste of money wrong product don't buy it,"Certified Buyer, Shakti Nagar Ntpc Township",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
43,Good Product But Not Best,"Certified Buyer, Bikaner",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
44,Not as Expected . . . Picture is not clear,"Certified Buyer, Guntur District",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
45,Worst product. It do not have mic,"Certified Buyer, Saharanpur",9 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
46,Not interesting,"Certified Buyer, Rewari",10 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
47,Bad quality service very poor,"Certified Buyer, Paschim Medinipur District",10 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
48,"Order this on 11 oct 2023 Tv delivered on 21 oct 2023 Tv Got installation on 23 oct
Tv is Good But the LG coustomer Service is very Third class after 9 months in display it coming Green lines and TV display becomes Fully Green Given Complaint on 12 July 2024 till 22 july 2024 they didn't change my Panel I didn't Accept this types of third class customer services from LG if you need a Good customer service Look for Any Other Device (The LG has Given Coustomer Services To SKYLARK ASSOCIATES)","Certified Buyer, Kalyan",10 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
49,Tv remote control not working not hd quality problem,"Certified Buyer, Mathura",10 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
50,Worst experience vest product,"Certified Buyer, Yadadri District",10 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
51,"Not Worth Buying Its HD Ready Model only, Spend Rs. 5000 more and get Full HD TV. ITS Very small size, Poor panel quality TV Very Basic Remote. Not at all Recommend, Sony Tvs are best Raise your budget and get a sony tv only.","Certified Buyer, Bhilwara",10 months ago,1,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
52,"I have 2 Mi led tvs and that's why I didn't want to purchase 3rd one for my Parents. Trust me guys, I made a big mistake. LG cannot beat Mi in any ground, Picture quality, Software handling, design, wall mount even the Remote, all disappointed me as compared to Mi tv.. Please don't waste your money as I did...","Certified Buyer, Thane District",6 months ago,2,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
53,Don't buy this,"Certified Buyer, Krishna District",4 months ago,2,LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM563BPTC)
