,text,state,date,star,hp_data
0,Very poor cooling,"Certified Buyer, Darbhanga",1 month ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
1,Not good product,"Certified Buyer, Bangarapet",2 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
2,Worst experience to buy filp kart... over heating issue on refrigerator panel and when the power went out suddenly water came out of my freezer,"Certified Buyer, Coimbatore",5 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
3,"Worst quality wast of money, no return option","Certified Buyer, Tirupati",6 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
4,Refrigerator base not fitting properly,"Certified Buyer, Noida",6 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
5,Silent operation fridge not silent operating only 3days bought,"Certified Buyer, Bengaluru",7 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
6,Current is descending in the frame,"Certified Buyer, Pratapgarh District",7 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
7,"Wrost products from Flipkart,","Certified Buyer, Chandipur Maldah District",8 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
8,Size is very small,"Certified Buyer, Bengaluru",8 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
9,Very small size,"Certified Buyer, Khandapada",9 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
10,I don't like that. small refrigerator loss of money,"Certified Buyer, Krishna District",9 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
11,"Base drawer was missing and Flipkart says they are not responsible for it as it was a open box delivery.. When a part of the product is missing and they are not responsible, whom do customer has to contact?","Certified Buyer, Vizianagaram District",10 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
12,Waste product getting to loud sound,"Certified Buyer, Chittoor District",10 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
13,Average,"Certified Buyer, Tiruvannamalai District",10 months ago,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making  (Blue Charm, GL-D201ABCU)"
