,text,star,hp_data,city,transformed_date,product_num,state
0,"Waste of money . AC not working till one month of installation. Installed by Jeeves company authorized from LG but both are blaming on one another
I request not to purchase from flipkart
As it lie there as waste of money
Junk",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Alwar,"May, 2023","TS-Q18JNXE3, Copper Condenser",Alwar
1,"I purchased this LG A. C. on 17 April 23..The most horrible experience ever... My A. C. Is just not working... Even if I run it on 16 the room is hot.. I don't understand what is it .. I have an IFB ac in my hometown. It's 3 years old.. I have to wear a blanket even if I put it on 27 degree C..
But this LG AC.. I get a feeling that iv been fooled.. I'm a very nice guy.. Normally i never complain of things... But this time the experience has been really disastrous... I have problem when it ge...
READ MORE",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Kalyan,"Apr, 2023","TS-Q18JNXE3, Copper Condenser",Kalyan
2,"If you want to buy a white showpiece for your bedroom then go ahead otherwise BIG NO. Worst service experience. Flipkart would not accept return/exchange if you need to. The indoor unit has serious water leakage issues, so this showpiece can be used as bedside shower.",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Madhyamgram,"Apr, 2023","TS-Q18JNXE3, Copper Condenser",Madhyamgram
3,Totally waste of money. company is not refund my money as per their policy which was not mentioned during purchase. That is why i am not using this and i have put it in the store room. thanks Flipkart 🙏🙏🙏,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Charkhi Dadri,"May, 2022","TS-Q18JNXE3, Copper Condenser",Charkhi Dadri
4,"This model don't have 4 way swing, it's actual ton is 1.3 because it's cooling capacity is 4400w, they are cheating us and selling it as 1.5 ton compare with other ac brands",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Erode,"Feb, 2024","TS-Q18JNXE3, Copper Condenser",Erode
5,"Do not buy any product from Flipkart
Not cooling
Ac remote stop working within a month",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Kolkata,"Mar, 2022","TS-Q18JNXE3, Copper Condenser",Kolkata
6,"Worst service from flipkart and jeeves ,wrong instllation done of indoor and outdoor unit ,continuous water leakage from Indoor unit ,no service support as continously following up from day of installation ,still no positive response",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Boisar,"Mar, 2022","TS-Q18JNXE3, Copper Condenser",Boisar
7,My ac is not getting temperature less than 23,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Bela Pratapgarh,"Apr, 2022","TS-Q18JNXE3, Copper Condenser",Bela Pratapgarh
8,Watter leek in outdoor pipe line indoor,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Tiruvallur,"Apr, 2022","TS-Q18JNXE3, Copper Condenser",Tiruvallur
9,Third class AC very very slow cooling,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Raichur,"May, 2022","TS-Q18JNXE3, Copper Condenser",Raichur
10,Not giving cool instent cooling i m not satisfied with this product ....,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Munger,"Apr, 2022","TS-Q18JNXE3, Copper Condenser",Munger
11,Please do not buy from here. AC is not cooling at all.,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Mainpuri,"Apr, 2022","TS-Q18JNXE3, Copper Condenser",Mainpuri
12,Not energy efficient. Not as per company spoken.,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Gwalior,"May, 2023","TS-Q18JNXE3, Copper Condenser",Gwalior
13,"Installation not good, water lekeage issue after 10 days",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Mathura District,"Apr, 2022","TS-Q18JNXE3, Copper Condenser",Mathura District
14,It worked a week and cooling rate dropped drastically. May be I received the defective one.,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Hyderabad,"Apr, 2022","TS-Q18JNXE3, Copper Condenser",Hyderabad
15,Very bad product,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Bharthana,"Aug, 2024","TS-Q18JNXE3, Copper Condenser",Bharthana
16,Not energy seving,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Junagadh,"Aug, 2024","TS-Q18JNXE3, Copper Condenser",Junagadh
17,Plz don't buy ....it's not working,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Gorakhpur,"Aug, 2024","TS-Q18JNXE3, Copper Condenser",Gorakhpur
18,No cooling heavy electricity bill. Better to buy bluestar 1 tonn ac,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Hisar District,"Jul, 2024","TS-Q18JNXE3, Copper Condenser",Hisar District
19,Product is very nice but service is not that good as my AC has cooling issue and not resolved by company or installation team..also known that the LG company and installation tema was different so ensure while installing,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Panch Mahals District,"Jul, 2024","TS-Q18JNXE3, Copper Condenser",Panch Mahals District
20,Very worst product,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Madurai,"Jul, 2024","TS-Q18JNXE3, Copper Condenser",Madurai
21,"Not a good product and installation by service partner is worst, installation tacnician is unexperienced . Thay made my new ac into old ac. Ac is not cooling room",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Firozpur,"Jul, 2024","TS-Q18JNXE3, Copper Condenser",Firozpur
22,Worst experience,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Pimpri Chinchwad,"Jul, 2024","TS-Q18JNXE3, Copper Condenser",Pimpri Chinchwad
23,Cooling is very bad,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Guwahati,"Jul, 2024","TS-Q18JNXE3, Copper Condenser",Guwahati
24,Very bad Cooling problem,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Sendhwa,"Jul, 2024","TS-Q18JNXE3, Copper Condenser",Sendhwa
25,Not good products,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Rohtas District,"Jul, 2024","TS-Q18JNXE3, Copper Condenser",Rohtas District
26,Please don't get this ..... LG is completely fraud and Flipkart never sends people to install this product.. we have ordered this on May 1 and we have not yet recieved a person to install the same..,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Kelambakkam,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Kelambakkam
27,It's cooling power is soo poor,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Khongapani,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Khongapani
28,"Worst product, Cooling issue from 2nd week, The 3rd party installation provided by flipkart is worst ,they don't even know to properly install it , no response while calling and lg team also not taking.
Totally hate the purchase.",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Thoraipakkam,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Thoraipakkam
29,"Worst ac I ever seen. After 10 days, colling process became pathetic. I have raised complaints but no solution so far. Don't buy these kind of products from Flipkart.",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Giridih,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Giridih
30,Indoor machine -no nitrogen gas,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Chennai,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Chennai
31,After Installation water leakage problem. Same problem still exists. Cooling takes more time than other Acs. Fan speed is very very very low even in 5th speed.,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Raniganj,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Raniganj
32,Very bad product and technician not good the installation cooling very low very bad not recommended by everyone,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Saran District,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Saran District
33,"Outdoor is very noisy
Cooling is okay",1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Samastipur District,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Samastipur District
34,Please don't buy this product cooling 0% design 100% Quality of LG appliances decrease with time please buy another brand ac and save money Worst quality 😔,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Tundla,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Tundla
35,Please never buy. Very less cooling,1,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protection,VIRAAT Mode, Diet Mode & ADC Sensor AC - White",Rupnagar,"Jun, 2024","TS-Q18JNXE3, Copper Condenser",Rupnagar
