,text,star,hp_data,city,transformed_date,product_num,state
0,Very poor cooling,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Darbhanga,"Jul, 2024","Blue Charm, GL-D201ABCU",Darbhanga
1,Not good product,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Bangarapet,"Jun, 2024","Blue Charm, GL-D201ABCU",Bangarapet
2,Worst experience to buy filp kart... over heating issue on refrigerator panel and when the power went out suddenly water came out of my freezer,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Coimbatore,"Mar, 2024","Blue Charm, GL-D201ABCU",Coimbatore
3,"Worst quality wast of money, no return option",1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Tirupati,"Feb, 2024","Blue Charm, GL-D201ABCU",Tirupati
4,Refrigerator base not fitting properly,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Noida,"Feb, 2024","Blue Charm, GL-D201ABCU",Noida
5,Silent operation fridge not silent operating only 3days bought,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Bengaluru,"Jan, 2024","Blue Charm, GL-D201ABCU",Bengaluru
6,Current is descending in the frame,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Pratapgarh District,"Jan, 2024","Blue Charm, GL-D201ABCU",Pratapgarh District
7,"Wrost products from Flipkart,",1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Chandipur Maldah District,"Dec, 2023","Blue Charm, GL-D201ABCU",Chandipur Maldah District
8,Size is very small,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Bengaluru,"Dec, 2023","Blue Charm, GL-D201ABCU",Bengaluru
9,Very small size,1,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Smart Inverter Compressor, Fast Ice Making",Khandapada,"Nov, 2023","Blue Charm, GL-D201ABCU",Khandapada
