User,Review
"SUKH
GURDASPUR, PUNJAB, INDIA
GenderMale
Age25 to 34","4 out of 5 stars.
AMAZING FEATURES
9 MONTHS AGO
I bought this a few days ago and I am so happy to bought it.
Best FeaturesEasy To Use, Quality, Style/Design
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toStyle Conscious
Originally posted on 32LQ640BPTA
Helpful?
4 Helpful(4)
0 Not helpful(0)
Report"
"Mahen
Pali
GenderMale
Age35 to 44","5 out of 5 stars.
GREAT FEATURES
A YEAR AGO
I am so happy and satisfied. I am using LG product since many years.
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Originally posted on 32LQ640BPTA
Helpful?
2 Helpful(2)
0 Not helpful(0)
Report"
"Logu
Chennai","5 out of 5 stars.
BEST DEAL PRICE IN RELIANCE DIGITAL STORES
A YEAR AGO
I bought it from Reliance excellent offer price , .
How long have you owned this product?A few months
What is your primary reason for choosing LG?Customer Service
Was this an in-store or online purchase?In-store
Select the user type that you most relate toApps & Games User
Yes, I recommend this product.
Originally posted on 32LQ645BPTA
Helpful?
8 Helpful(8)
0 Not helpful(0)
Report"
Lg,"5 out of 5 stars.
GREAT FEATURES
A YEAR AGO
Great feature I would definitely recommend this to my friends.
Yes, I recommend this product.
Originally posted on 32LQ645BPTA
Helpful?
5 Helpful(5)
0 Not helpful(0)
Report"
"NILESH
SURAT
GenderMale
Age25 to 34","5 out of 5 stars.
SUPER SMART TV
A YEAR AGO
very nice smart tv and very super Great features.thank lg
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Originally posted on 32LQ640BPTA
Helpful?
3 Helpful(3)
1 Not helpful(1)
Report"
"Good
GenderMale
Age25 to 34","5 out of 5 stars.
GOOD
8 MONTHS AGO
Very nice and beautiful ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
Best FeaturesEasy To Use
How long have you owned this product?A few hours
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toText & Calls User
Originally posted on 32LQ640BPTA
Helpful?
1 Helpful(1)
0 Not helpful(0)
Report"
Jagan,"5 out of 5 stars.
AMAZING AT THIS PRICE
A YEAR AGO
chromecase wont work for prime,hotstar etc.. you have to watch them thru webOS apps preinstalled.. youtube you can chromecast.
Best FeaturesQuality, Style/Design, Performance
How long have you owned this product?A few weeks
What is your primary reason for choosing LG?Online Research
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Originally posted on 32LQ640BPTA
Helpful?
0 Helpful(0)
0 Not helpful(0)
Report"
"sri
andhra pradesh","5 out of 5 stars.
SUPER SMART TV
A YEAR AGO
very nice smart tv and very super Great features.thank lg
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Originally posted on 32LQ640BPTA
Helpful?
3 Helpful(3)
1 Not helpful(1)
Report"
"NILESH
SURAT
GenderMale
Age25 to 34","5 out of 5 stars.
BEST DEAL PRICE IN RELIANCE DIGITAL STORES
A YEAR AGO
I bought it from Reliance excellent offer price , .
How long have you owned this product?A few months
What is your primary reason for choosing LG?Customer Service
Was this an in-store or online purchase?In-store
Select the user type that you most relate toApps & Games User
Yes, I recommend this product.
Originally posted on 32LQ645BPTA
Helpful?
8 Helpful(8)
0 Not helpful(0)
Report"
"Logu
Chennai","5 out of 5 stars.
GREAT FEATURES
A YEAR AGO
I am so happy and satisfied. I am using LG product since many years.
Best FeaturesEasy To Use, Quality, Style/Design, Performance, Features/Settings
How long have you owned this product?A few days
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?Online
Select the user type that you most relate toTech Lover
Yes, I recommend this product.
Originally posted on 32LQ640BPTA
Helpful?
2 Helpful(2)
0 Not helpful(0)
Report"
"Mahen
Pali
GenderMale
Age35 to 44","5 out of 5 stars.
GREAT FEATURES
A YEAR AGO
Great feature I would definitely recommend this to my friends.
Yes, I recommend this product.
Originally posted on 32LQ645BPTA
Helpful?
5 Helpful(5)
0 Not helpful(0)
Report"
Lg,"5 out of 5 stars.
GOOD
8 MONTHS AGO
Very nice and beautiful ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
Best FeaturesEasy To Use
How long have you owned this product?A few hours
What is your primary reason for choosing LG?Product Quality
Was this an in-store or online purchase?In-store
Select the user type that you most relate toText & Calls User
Originally posted on 32LQ640BPTA
Helpful?
1 Helpful(1)
0 Not helpful(0)
Report"
