,Action,satisfaction,importance,opportunity_score
0,Actor0_Action1,-6.399331145104355,7.4177,21.234731145104355
1,Actor0_Action2,-3.6102312672819714,7.9315,19.47323126728197
2,Actor0_Action3,1.5028552379455284,10.0,18.49714476205447
3,Actor0_Action4,-6.644442174023382,8.2082,23.06084217402338
4,Actor0_Action5,-3.685631900977567,7.6877,19.061031900977568
5,Actor0_Action6,-4.099731798579919,3.2675,10.634731798579919
6,Actor1_Action1,8.544975962856675,1.4097,1.4097
7,Actor1_Action2,8.542305610680138,0.0659,0.0659
8,Actor1_Action3,10.0,0.0527,0.0527
9,Actor2_Action1,-9.430942501481923,1.2055,11.841942501481924
10,Actor2_Action2,-8.8467591930176,1.0606,10.967959193017602
11,Actor2_Action3,-10.0,0.0988,10.197600000000001
12,Actor2_Action4,-7.4605809128630725,0.2767,8.013980912863072
13,Actor3_Action1,5.622015188287794,0.9618,0.9618
14,Actor3_Action2,6.711863299245273,2.4242,2.4242
15,Actor3_Action3,4.937759336099585,0.2833,0.2833
16,Actor3_Action4,-5.422917331631027,0.0,5.422917331631027
